"Longitude","Latitude","Precipitation","Tmin","Tmax"
-0.606746,42.71173,41.7999992370605,9,23
0.763111,42.5981,69.5999984741211,8,21
0.763111,42.5981,69.5999984741211,8,21
-0.593873,42.775299,51.0999984741211,7,21
0.714563,42.477,60.7999992370605,11,25
0.752807,42.55591,68.5,8,21
0.763644,42.62721,72.8000030517578,7,20
0.763644,42.62721,72.8000030517578,7,20
-0.606746,42.71173,41.7999992370605,9,23
0.714563,42.477,60.7999992370605,11,25
0.714563,42.477,60.7999992370605,11,25
0.763644,42.62721,72.8000030517578,7,20
0.752807,42.55591,68.5,8,21
-0.593873,42.775299,51.0999984741211,7,21
0.718685,42.5058,63.9000015258789,10,24
0.714563,42.477,60.7999992370605,11,25
0.763644,42.62721,72.8000030517578,7,20
-0.597015,42.7889,51.0999984741211,7,21
0.718685,42.5058,63.9000015258789,10,24
0.763644,42.62721,72.8000030517578,7,20
-0.593873,42.775299,51.0999984741211,7,21
-0.597015,42.7889,51.0999984741211,7,21
0.718685,42.5058,63.9000015258789,10,24
0.718685,42.5058,63.9000015258789,10,24
-0.589984,42.7373,41.7999992370605,9,23
0.755111,42.6368,72.8000030517578,7,20
0.718685,42.5058,63.9000015258789,10,24
0.755111,42.6368,72.8000030517578,7,20
-0.589984,42.7373,41.7999992370605,9,23
0.752807,42.55591,68.5,8,21
-0.593873,42.775299,51.0999984741211,7,21
-0.597015,42.7889,51.0999984741211,7,21
0.763111,42.5981,69.5999984741211,8,21
-0.589984,42.7373,41.7999992370605,9,23
-0.597015,42.7889,51.0999984741211,7,21
0.714563,42.477,60.7999992370605,11,25
0.714563,42.477,60.7999992370605,11,25
-0.606746,42.71173,41.7999992370605,9,23
0.755111,42.6368,72.8000030517578,7,20
0.755111,42.6368,72.8000030517578,7,20
0.763644,42.62721,72.8000030517578,7,20
-0.606746,42.71173,41.7999992370605,9,23
0.755111,42.6368,72.8000030517578,7,20
0.763644,42.62721,72.8000030517578,7,20
-0.589984,42.7373,41.7999992370605,9,23
0.763111,42.5981,69.5999984741211,8,21
0.763111,42.5981,69.5999984741211,8,21
-0.606746,42.71173,41.7999992370605,9,23
-0.589984,42.7373,41.7999992370605,9,23
-0.589984,42.7373,41.7999992370605,9,23
0.718685,42.5058,63.9000015258789,10,24
0.755111,42.6368,72.8000030517578,7,20
0.718685,42.5058,63.9000015258789,10,24
-0.606746,42.71173,41.7999992370605,9,23
-0.597015,42.7889,51.0999984741211,7,21
0.752807,42.55591,68.5,8,21
-0.606746,42.71173,41.7999992370605,9,23
0.752807,42.55591,68.5,8,21
0.763111,42.5981,69.5999984741211,8,21
-0.597015,42.7889,51.0999984741211,7,21
0.14248,42.91491,65.8000030517578,6,20
0.12692,42.91811,70.8000030517578,6,20
0.18892,42.92098,68.5999984741211,8,22
0.91661,42.82317,80.5999984741211,6,20
0.16218,42.90711,65.8000030517578,6,20
0.14248,42.91491,65.8000030517578,6,20
0.93699,42.83628,77.6999969482422,11,23
0.16218,42.90711,65.8000030517578,6,20
0.91256,42.82719,80.5999984741211,6,20
0.12692,42.91811,70.8000030517578,6,20
0.13036,42.91595,65.8000030517578,6,20
0.90279,42.82674,80.5999984741211,6,20
0.25002,42.96319,65.6999969482422,11,23
0.18892,42.92098,68.5999984741211,8,22
0.90279,42.82674,80.5999984741211,6,20
0.25002,42.96319,65.6999969482422,11,23
0.91256,42.82719,80.5999984741211,6,20
0.91256,42.82719,80.5999984741211,6,20
0.93699,42.83628,77.6999969482422,11,23
0.12692,42.91811,70.8000030517578,6,20
0.19928,42.92734,68.5999984741211,8,22
0.25002,42.96319,65.6999969482422,11,23
0.91661,42.82317,80.5999984741211,6,20
0.91661,42.82317,80.5999984741211,6,20
0.93699,42.83628,77.6999969482422,11,23
0.19928,42.92734,68.5999984741211,8,22
0.91256,42.82719,80.5999984741211,6,20
0.14248,42.91491,65.8000030517578,6,20
0.25002,42.96319,65.6999969482422,11,23
0.91661,42.82317,80.5999984741211,6,20
0.18892,42.92098,68.5999984741211,8,22
0.19928,42.92734,68.5999984741211,8,22
0.16218,42.90711,65.8000030517578,6,20
0.93699,42.83628,77.6999969482422,11,23
0.91256,42.82719,80.5999984741211,6,20
0.13036,42.91595,65.8000030517578,6,20
0.12692,42.91811,70.8000030517578,6,20
0.90279,42.82674,80.5999984741211,6,20
0.16218,42.90711,65.8000030517578,6,20
0.17106,42.90993,69.0999984741211,6,20
0.19928,42.92734,68.5999984741211,8,22
0.93699,42.83628,77.6999969482422,11,23
0.25002,42.96319,65.6999969482422,11,23
0.90279,42.82674,80.5999984741211,6,20
0.90279,42.82674,80.5999984741211,6,20
0.18892,42.92098,68.5999984741211,8,22
0.12692,42.91811,70.8000030517578,6,20
