Longitude	Latitude
-0.606746	42.71173
-0.606746	42.71173
-0.606746	42.71173
-0.606746	42.71173
-0.606746	42.71173
-0.606746	42.71173
-0.606746	42.71173
-0.597015	42.7889
-0.597015	42.7889
-0.597015	42.7889
-0.597015	42.7889
-0.597015	42.7889
-0.597015	42.7889
-0.593873	42.775299
-0.593873	42.775299
-0.593873	42.775299
-0.593873	42.775299
-0.589984	42.7373
-0.589984	42.7373
-0.589984	42.7373
-0.589984	42.7373
-0.589984	42.7373
-0.589984	42.7373
0.12692	42.91811
0.12692	42.91811
0.12692	42.91811
0.12692	42.91811
0.12692	42.91811
0.13036	42.91595
0.13036	42.91595
0.14248	42.91491
0.14248	42.91491
0.14248	42.91491
0.16218	42.90711
0.16218	42.90711
0.16218	42.90711
0.16218	42.90711
0.17106	42.90993
0.18892	42.92098
0.18892	42.92098
0.18892	42.92098
0.18892	42.92098
0.19928	42.92734
0.19928	42.92734
0.19928	42.92734
0.19928	42.92734
0.25002	42.96319
0.25002	42.96319
0.25002	42.96319
0.25002	42.96319
0.25002	42.96319
0.714563	42.477
0.714563	42.477
0.714563	42.477
0.714563	42.477
0.714563	42.477
0.714563	42.477
0.714563	42.477
0.718685	42.5058
0.718685	42.5058
0.718685	42.5058
0.718685	42.5058
0.718685	42.5058
0.718685	42.5058
0.718685	42.5058
0.752807	42.55591
0.752807	42.55591
0.752807	42.55591
0.752807	42.55591
0.752807	42.55591
0.752807	42.55591
0.755111	42.6368
0.755111	42.6368
0.755111	42.6368
0.755111	42.6368
0.755111	42.6368
0.755111	42.6368
0.763111	42.5981
0.763111	42.5981
0.763111	42.5981
0.763111	42.5981
0.763111	42.5981
0.763111	42.5981
0.763644	42.62721
0.763644	42.62721
0.763644	42.62721
0.763644	42.62721
0.763644	42.62721
0.763644	42.62721
0.763644	42.62721
0.90279	42.82674
0.90279	42.82674
0.90279	42.82674
0.90279	42.82674
0.90279	42.82674
0.91256	42.82719
0.91256	42.82719
0.91256	42.82719
0.91256	42.82719
0.91256	42.82719
0.91661	42.82317
0.91661	42.82317
0.91661	42.82317
0.91661	42.82317
0.93699	42.83628
0.93699	42.83628
0.93699	42.83628
0.93699	42.83628
0.93699	42.83628
